ID,Épic,Feature,User Story,Description,Critères d’acceptation (Gherkin / tests),Priorité (MoSCoW),Estimation (Story Points),Dépendances,Roadmap Phase,Donnée personnelle (DPIA),Sécurité (menaces/contrôles),Admin/Backoffice,Tracking (analytics/event),Accessibilité (WCAG/RGAA),i18n/l10n,Notes
LM2-107,Monétisation,Quotas & règles,"En tant qu’utilisatrice, je veux que mon quota mixte soit appliqué automatiquement",Enforcement du quota: bloque création quand capsules ,"Given mon plan est Freemium When j’atteins 25 capsules  Then bouton créer capsule est bloqué + CTA upgrade
Given mon plan est Premium When j’atteins 100 capsules Then même comportement
Given mon plan est VIP Then aucune limite affichée (sauf fair-use interne)",Must,13,LM2-023;LM2-085;LM2-043,M4-M6,Usage,Contrôle serveur + cohérence client,Non,quota_blocked,AA,FR/AR,
LM2-108,Monétisation,Statut abonnement,"En tant qu’utilisatrice, je veux voir le statut de mon abonnement",Affichage statut: Actif/Pending/Expiré + date de fin.,"Given je suis dans Compte When j’ouvre Abonnement Then je vois statut + date fin + plan
And When abonnement expiré Then je vois message et options renouveler",Must,5,LM2-044,M4-M6,—,RBAC user,Non,subscription_status_viewed,AA,FR/AR,
LM2-109,Monétisation,Renouvellement Premium,"En tant qu’utilisatrice, je veux renouveler mon Premium annuel",Renouvellement Premium 1990 DA/an.,"Given Premium actif When J-30/J-7/J-1 Then je reçois notification
When je renouvelle et paiement success Then nouvelle date fin = +1 an",Must,8,LM2-044,M7-M9,—,Idempotence paiement,Non,premium_renewed,AA,FR/AR,
LM2-110,Monétisation,VIP année 1,"En tant qu’utilisatrice, je veux souscrire VIP la première année",VIP 1ère année: 150000 DA (annuel). Capsules illimitées + 1 album offert (voucher unique) + perks VIP année 1.,"Given je choisis VIP (année 1) When paiement success Then statut VIP actif 12 mois
And Then capsules deviennent illimitées (fair-use interne)
And Then un voucher 'Album offert' (1 utilisation) est créé (album + livraison en Algérie) et visible dans Compte
And Then les entitlements VIP année 1 sont appliqués",Must,8,LM2-044;LM2-043,M7-M9,Paiement,Tokenisation PSP,Non,vip_year1_started,AA,FR/AR,Album offert inclus UNIQUEMENT la 1ère année (150000 DA).
LM2-111,Monétisation,Renouvellement VIP,"En tant qu’utilisatrice, je veux renouveler VIP à un tarif différent",VIP renouvellement: 3990 DA/an à partir de l’année 2; inclut capsules illimitées + avantages configurables (entitlements). Pas d’album offert.,"Given VIP arrive à échéance When je renouvelle Then prix affiché = 3990 DA/an
And When paiement success Then VIP renouvelé 12 mois
And Then capsules restent illimitées (fair-use interne)
And Then aucun voucher album n’est créé lors du renouvellement
And Then seules les entitlements de renouvellement (perks admin) sont appliquées",Must,8,LM2-110;LM2-044,M7-M9,Paiement,Idempotence + anti-fraude,Non,vip_renewed,AA,FR/AR,"Renouvellement VIP = 3990 DA/an, sans album offert."
LM2-112,Monétisation,Expiration & downgrade,"En tant qu’utilisatrice, je veux comprendre ce qui se passe si mon abonnement expire",Règles d’expiration: retour Freemium et verrouillage si au-dessus du quota.,"Given Premium/VIP expire When date fin dépassée Then plan devient Freemium
And If nb_capsules>25  Then mode lecture seule + CTA renouveler/exporter
And If dans les limites Then usage normal Freemium",Must,13,LM2-107;LM2-108,M7-M9,Usage,Règles côté serveur,Non,subscription_expired,AA,FR/AR,
LM2-113,Admin Plateforme,Entitlements,"En tant qu’admin, je veux activer des avantages par plan (entitlements)",Système d’entitlements (features) assignables par plan et par utilisateur.,"Given admin When je configure un entitlement Then je peux l’associer à Premium/VIP
And When je publie Then les apps appliquent les avantages sans mise à jour",Must,13,LM2-047,M7-M9,—,RBAC + audit,Oui,entitlement_published,AA,FR/AR,
LM2-114,Admin Plateforme,Gestion VIP perks,"En tant qu’admin, je veux attribuer des avantages supplémentaires aux VIP",Ajouter/retirer des perks VIP (futures options) via backoffice.,"Given utilisateur VIP When j’ajoute un perk Then il est effectif immédiatement
And toutes actions sont auditées",Should,8,LM2-113,M10-M12,Identifiant,RBAC + audit log,Oui,vip_perk_changed,AA,FR/AR,
LM2-115,Monétisation,Voucher album VIP,"En tant qu’utilisatrice VIP (année 1), je veux bénéficier d’un album offert","Voucher ""1 album offert"" (album + livraison) valable uniquement en Algérie, créé à l’activation VIP année 1 (150000 DA). Utilisable 1 fois.","Given je deviens VIP année 1 When activation Then un voucher 100% est créé (1 usage)
And Then le voucher couvre le coût de l’album ET la livraison sur le territoire algérien
And Given je renouvelle VIP année 2+ Then aucun nouveau voucher n’est créé
Given je commande un album When j’applique le voucher Then total album=0 et livraison=0 (Algérie)
And Then après utilisation, le voucher passe à 'consommé' et ne peut plus être réutilisé",Should,13,LM2-110,M10-M12,Commande,Anti-fraude voucher,Non,vip_voucher_used,AA,FR/AR,Option A: album offert + livraison offerte UNIQUEMENT en Algérie. Définir zones/délais/transporteur.
LM2-116,Album papier,Commander album,"En tant que maman, je veux commander un album imprimé","Commande album imprimé: adresse Algérie, options, paiement (ou voucher), statuts. Voucher VIP année 1 couvre album + livraison en Algérie.","Given j’ai un album prêt When je clique Commander Then je saisis une adresse en Algérie et options
And When l’adresse n’est pas en Algérie Then le voucher VIP ne peut pas être appliqué
And When j’ai un voucher album offert VIP année 1 valide Then je peux l’appliquer au checkout
And When voucher appliqué Then total album=0 et livraison=0 (Algérie)
And When paiement success (ou total=0) Then commande créée (status=Payée) et reçu
And Then je vois le suivi (Préparation/Expédié/Livré)",Must,21,LM2-104;LM2-105;LM2-044,M10-M12,Adresse,Chiffrement + RBAC,Non,order_created,AA,FR/AR,Option A: livraison offerte en Algérie. Ajouter table zones wilayas / frais hors DZ si extension future.
LM2-117,Admin Plateforme,Gestion abonnements,"En tant qu’admin, je veux voir et corriger les statuts d’abonnement","Console abonnements: recherche user, statut, dates, transactions.","Given admin When je recherche un user Then je vois plan + statut + historique transactions
And When litige Then je peux forcer refresh/rétablir accès avec raison",Should,13,LM2-044;LM2-050,M10-M12,Identifiant,RBAC + audit,Oui,admin_subscription_view,AA,FR/AR,
